host,host_label,server_version,model,quant,kv_mode_requested,kv_mode_resolved,kv_algo_resolved,kv_path,workload,num_ctx,concurrency,prompt_tokens_target,prompt_eval_count,max_tokens,eval_count,generated_tokens,live_kv_tokens_total,ctx_x_conc,epoch,warmup,prefill_tps,decode_tps,ttft_ms_mean,ttft_ms_p95,load_ms,total_ms,wall_ms,peak_vram_bytes,avg_gpu_util,peak_gpu_util,gpu_metrics_available,host_ram_used_bytes,peak_host_ram_bytes,host_metrics_available,processor_state_before,processor_state_after,full_gpu_residency,spilled,gpu_offload_regression,runner_rss_bytes,success,status,error
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,prefill-heavy,16384,1,14745,14746,128,128,128,14874,16384,1,false,167.1399,6.6252,88575.6437,88575.6437,279.0751,107956.9292,107963.6623,,,,false,3620143104,3696902144,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq25,,paper,unknown,prefill-heavy,16384,1,14745,0,128,0,0,0,16384,0,false,,,,,,,,,,,false,,,false,,,false,false,false,-1,,unsupported,unsupported kv_cache_type on target host
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,,paper,unknown,prefill-heavy,16384,1,14745,0,128,0,0,0,16384,0,false,,,,,,,,,,,false,,,false,,,false,false,false,-1,,unsupported,unsupported kv_cache_type on target host
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,prefill-heavy,16384,1,14745,14746,128,128,128,14874,16384,1,false,157.1626,19.3835,107074.1950,107074.1950,13130.3881,113737.3555,113746.0535,,,,false,3785596928,3930451968,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq25,tq25,paper,dense-fallback,prefill-heavy,16384,1,14745,14746,128,128,128,14874,16384,1,false,155.4788,19.4532,108167.2231,108167.2231,13213.4279,114819.8153,114826.9044,,,,false,3797770240,3898499072,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,tq35,paper,dense-fallback,prefill-heavy,16384,1,14745,14746,128,128,128,14874,16384,1,false,155.4944,19.2156,108409.9351,108409.9351,13467.3240,115127.8290,115135.7428,,,,false,3684519936,3818860544,true,unknown,unknown,false,false,false,-1,true,ok,
