host,host_label,server_version,model,quant,kv_mode_requested,kv_mode_resolved,kv_algo_resolved,kv_path,workload,num_ctx,concurrency,prompt_tokens_target,prompt_eval_count,max_tokens,eval_count,generated_tokens,live_kv_tokens_total,ctx_x_conc,epoch,warmup,prefill_tps,decode_tps,ttft_ms_mean,ttft_ms_p95,load_ms,total_ms,wall_ms,peak_vram_bytes,avg_gpu_util,peak_gpu_util,gpu_metrics_available,host_ram_used_bytes,peak_host_ram_bytes,host_metrics_available,processor_state_before,processor_state_after,full_gpu_residency,spilled,gpu_offload_regression,runner_rss_bytes,success,status,error
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,8192,1,2048,2048,512,512,512,2560,8192,1,false,245.3416,19.6538,8673.5094,8673.5094,305.1548,35005.9138,35012.1600,,,,false,3367612416,3374829568,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,decode-growth,16384,1,2048,2048,512,512,512,2560,16384,1,false,244.7906,19.6342,19776.9891,19776.9891,11342.0172,46140.1134,46146.1844,,,,false,3334610944,3438804992,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,,paper,unknown,decode-growth,8192,1,2048,0,512,0,0,0,8192,0,false,,,,,,,,,,,false,,,false,,,false,false,false,-1,,unsupported,unsupported kv_cache_type on target host
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,,paper,unknown,decode-growth,16384,1,2048,0,512,0,0,0,16384,0,false,,,,,,,,,,,false,,,false,,,false,false,false,-1,,unsupported,unsupported kv_cache_type on target host
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,decode-growth,8192,1,2048,2048,512,512,512,2560,8192,1,false,249.3613,28.1495,19263.8469,19263.8469,10978.2917,37732.1023,37738.7238,,,,false,3573534720,3573534720,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,decode-growth,16384,1,2048,2048,512,512,512,2560,16384,1,false,245.8363,28.3225,19519.2541,19519.2541,11116.9379,37908.3199,37913.3030,,,,false,3564019712,3672539136,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,tq35,paper,dense-fallback,decode-growth,8192,1,2048,2048,512,512,512,2560,8192,1,false,249.8038,28.0264,19365.2689,19365.2689,11098.8456,37925.0773,37930.8151,,,,false,3567022080,3643584512,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,tq35,paper,dense-fallback,decode-growth,16384,1,2048,2048,512,512,512,2560,16384,1,false,240.4520,27.7775,19681.0544,19681.0544,11095.0009,38407.7856,38413.3640,,,,false,3527802880,3663491072,true,unknown,unknown,false,false,false,-1,true,ok,
