host,host_label,server_version,model,quant,kv_mode_requested,kv_mode_resolved,kv_algo_resolved,kv_path,workload,num_ctx,concurrency,prompt_tokens_target,prompt_eval_count,max_tokens,eval_count,generated_tokens,live_kv_tokens_total,ctx_x_conc,epoch,warmup,prefill_tps,decode_tps,ttft_ms_mean,ttft_ms_p95,load_ms,total_ms,wall_ms,peak_vram_bytes,avg_gpu_util,peak_gpu_util,gpu_metrics_available,host_ram_used_bytes,peak_host_ram_bytes,host_metrics_available,processor_state_before,processor_state_after,full_gpu_residency,spilled,gpu_offload_regression,runner_rss_bytes,success,status,error
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,near-oom-staircase,32768,1,29491,29492,128,128,128,29620,32768,1,false,103.3593,3.4015,285657.5185,285657.5185,227.5784,323373.8015,323379.3643,,,,false,6316277760,6634553344,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,near-oom-staircase,32768,2,29491,58984,128,256,256,59240,65536,1,false,103.2406,3.4094,447505.4255,593241.2051,282.7190,485121.5427,647019.3625,,,,false,6696009728,7017697280,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,,paper,unknown,near-oom-staircase,32768,1,29491,0,128,0,0,0,32768,0,false,,,,,,,,,,,false,,,false,,,false,false,false,-1,,unsupported,unsupported kv_cache_type on target host
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,near-oom-staircase,32768,2,29491,58984,128,256,256,59240,65536,1,false,131.4797,18.8294,351087.0323,455241.9761,11086.3165,357950.1130,473651.8357,,,,false,7748128768,7970758656,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,tq35,paper,dense-fallback,near-oom-staircase,32768,1,29491,29492,128,128,128,29620,32768,1,false,131.5653,18.8320,235349.8045,235349.8045,11039.5945,242201.5404,242207.6857,,,,false,7205380096,7862009856,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,tq35,paper,dense-fallback,near-oom-staircase,32768,2,29491,58984,128,256,256,59240,65536,1,false,262.1651,18.8794,116347.5632,220665.9277,319.5958,123194.2212,239134.8785,,,,false,7682707456,7976472576,true,unknown,unknown,false,false,false,-1,true,ok,
