host,host_label,server_version,model,quant,kv_mode_requested,kv_mode_resolved,kv_algo_resolved,kv_path,workload,num_ctx,concurrency,prompt_tokens_target,prompt_eval_count,max_tokens,eval_count,generated_tokens,live_kv_tokens_total,ctx_x_conc,epoch,warmup,prefill_tps,decode_tps,ttft_ms_mean,ttft_ms_p95,load_ms,total_ms,wall_ms,peak_vram_bytes,avg_gpu_util,peak_gpu_util,gpu_metrics_available,host_ram_used_bytes,peak_host_ram_bytes,host_metrics_available,processor_state_before,processor_state_after,full_gpu_residency,spilled,gpu_offload_regression,runner_rss_bytes,success,status,error
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,near-oom-staircase,16384,1,14745,14746,128,128,128,14874,16384,1,false,167.8452,6.6175,88182.7205,88182.7205,256.2218,107584.8884,107590.6885,,,,false,3626881024,3689840640,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,near-oom-staircase,32768,1,29491,29492,128,128,128,29620,32768,1,false,103.7643,3.3885,284569.4742,284569.4742,268.2442,322430.6954,322437.2409,,,,false,6233194496,6586757120,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,,paper,unknown,near-oom-staircase,16384,1,14745,0,128,0,0,0,16384,0,false,,,,,,,,,,,false,,,false,,,false,false,false,-1,,unsupported,unsupported kv_cache_type on target host
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,near-oom-staircase,16384,1,14745,14746,128,128,128,14874,16384,1,false,168.7445,21.9193,99634.2657,99634.2657,12131.2734,105536.2039,105542.3308,,,,false,6532427776,6602829824,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,tq35,paper,dense-fallback,near-oom-staircase,16384,1,14745,14746,128,128,128,14874,16384,1,false,180.3095,24.0986,97035.5870,97035.5870,15142.6932,102411.9478,102418.2588,,,,false,6494990336,6557822976,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,tq35,paper,dense-fallback,near-oom-staircase,32768,1,29491,29492,128,128,128,29620,32768,1,false,131.5470,18.7735,235382.0314,235382.0314,11042.0075,242268.0636,242273.7561,,,,false,6746251264,6967738368,true,unknown,unknown,false,false,false,-1,true,ok,
