host,host_label,server_version,model,quant,kv_mode_requested,kv_mode_resolved,kv_algo_resolved,kv_path,workload,num_ctx,concurrency,prompt_tokens_target,prompt_eval_count,max_tokens,eval_count,generated_tokens,live_kv_tokens_total,ctx_x_conc,epoch,warmup,prefill_tps,decode_tps,ttft_ms_mean,ttft_ms_p95,load_ms,total_ms,wall_ms,peak_vram_bytes,avg_gpu_util,peak_gpu_util,gpu_metrics_available,host_ram_used_bytes,peak_host_ram_bytes,host_metrics_available,processor_state_before,processor_state_after,full_gpu_residency,spilled,gpu_offload_regression,runner_rss_bytes,success,status,error
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,unknown,prefill-heavy,32768,1,29491,29492,128,128,128,29620,32768,1,false,103.6367,3.4176,284938.8017,284938.8017,264.1862,322462.0290,322468.2708,,,,false,6257868800,6604677120,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11438,baseline,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,,paper,unknown,prefill-heavy,32768,1,29491,0,128,0,0,0,32768,0,false,,,,,,,,,,,false,,,false,,,false,false,false,-1,,unsupported,unsupported kv_cache_type on target host
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,f16,f16,unknown,dense-fallback,prefill-heavy,32768,1,29491,29492,128,128,128,29620,32768,1,false,123.2107,15.2618,251186.2155,251186.2155,11667.8371,259642.2453,259649.3902,,,,false,6812618752,7041564672,true,unknown,unknown,false,false,false,-1,true,ok,
http://127.0.0.1:11439,turbo,0.0.0,qwen3-30b:instruct2507-udq4kxl,Q4_K_M,tq35,tq35,paper,dense-fallback,prefill-heavy,32768,1,29491,29492,128,128,128,29620,32768,1,false,124.0593,17.1189,249859.4998,249859.4998,12004.9551,257405.8072,257412.1991,,,,false,6751334400,6989967360,true,unknown,unknown,false,false,false,-1,true,ok,
